object_probs,left,top,right,bottom
bus 0.87277,355,490,603,672
motorbike 0.88529,723,536,800,618
motorbike 0.84703,954,420,993,475
motorbike 0.74732,847,288,887,327
motorbike 0.70004,1040,398,1074,465
person 0.54561 motorbike 0.66484,218,311,242,347
motorbike 0.60813,1018,353,1046,383
motorbike 0.56309,951,284,986,321
car 0.77304,334,257,383,291
person 0.89759,1015,326,1053,380
person 0.85092,955,387,992,448
person 0.81452,722,505,792,575
person 0.80766,545,271,567,306
person 0.75317,1038,382,1075,451
