object_probs,left,top,right,bottom
motorbike 0.95450,1000,439,1044,502
motorbike 0.89762,638,561,717,674
motorbike 0.86068,919,442,963,498
person 0.60792 motorbike 0.77046,804,290,840,326
motorbike 0.76991,228,330,250,356
person 0.53328 motorbike 0.74660,975,339,1013,395
motorbike 0.52239,1069,326,1078,359
car 0.66858,334,258,380,289
car 0.58553,286,512,552,695
person 0.98199,922,406,963,471
person 0.93877,224,311,249,348
person 0.90523,1001,407,1048,494
person 0.86710,636,544,712,658
person 0.81756,518,272,539,304
person 0.50576,1067,307,1079,354
