object_probs,left,top,right,bottom
motorbike 0.95799,554,595,635,680
motorbike 0.92722,398,271,420,300
motorbike 0.85187,703,542,780,619
motorbike 0.81442,637,512,709,600
motorbike 0.77479,314,576,425,674
motorbike 0.64383,1048,359,1078,422
motorbike 0.63643,1051,387,1076,430
car 0.99618,231,436,442,560
car 0.90452,329,250,380,294
car 0.89672,785,399,940,503
car 0.71317,225,244,285,305
person 0.90994,682,638,757,717
person 0.89132,560,541,633,651
person 0.77534,916,351,946,392
person 0.70946,715,504,768,605
person 0.66238,633,447,681,507
person 0.64827,318,542,398,644
person 0.61333,1055,357,1076,391
