object_probs,left,top,right,bottom
motorbike 0.94125,558,312,582,334
motorbike 0.86122,638,359,683,408
motorbike 0.80815,129,562,206,631
person 0.71907 motorbike 0.73934,503,295,528,322
motorbike 0.73933,303,348,328,384
motorbike 0.71591,459,292,479,314
motorbike 0.64559,187,305,206,337
person 0.85667 motorbike 0.51741,554,295,578,323
car 0.98141,626,279,757,337
car 0.87259,332,254,395,295
car 0.76363,212,270,252,292
person 0.80915,620,306,661,357
person 0.80512,127,517,179,600
person 0.75403,635,343,680,404
person 0.71587,300,329,327,375
person 0.61223,457,276,476,304
