object_probs,left,top,right,bottom
car 0.59062 truck 0.59071,206,230,254,287
motorbike 0.93488,522,540,610,608
motorbike 0.91068,802,423,849,474
motorbike 0.75484,870,372,902,412
motorbike 0.72248,1071,400,1079,463
motorbike 0.69272,399,271,420,301
motorbike 0.68498,990,412,1024,450
motorbike 0.67503,746,397,792,465
motorbike 0.62456,902,380,940,437
motorbike 0.59092,791,400,854,459
car 0.99278,230,595,575,719
car 0.98510,93,485,356,660
car 0.94633,334,251,384,297
car 0.93536,351,351,428,442
car 0.61300,977,327,1074,381
person 0.98749,802,387,851,450
person 0.96285,743,383,787,452
person 0.91750,991,380,1031,443
person 0.71707,534,500,604,572
person 0.69176,870,352,902,387
