object_probs,left,top,right,bottom
motorbike 0.95416,769,484,833,548
person 0.77105 motorbike 0.87463,473,271,498,301
motorbike 0.82535,1033,375,1066,410
motorbike 0.81377,883,399,927,457
motorbike 0.79728,716,446,776,500
motorbike 0.74743,967,371,996,414
motorbike 0.67446,535,288,564,315
motorbike 0.59023,175,478,222,547
person 0.80991 motorbike 0.56128,537,273,561,308
motorbike 0.51661,885,428,921,462
car 0.53223,305,250,341,274
person 0.96523,775,446,830,541
person 0.94203,883,381,924,447
person 0.88599,966,345,1000,407
person 0.78731,718,418,768,486
person 0.69513,876,345,916,397
person 0.62961,196,651,237,719
person 0.59273,614,541,689,651
person 0.58232,174,465,219,533
person 0.56759,1029,339,1066,401
person 0.56694,1027,331,1057,364
person 0.55307,1035,355,1065,387
person 0.53636,569,514,623,601
person 0.50421,165,658,203,719
