object_probs,left,top,right,bottom
motorbike 0.92655,498,511,575,594
motorbike 0.91984,650,520,715,594
motorbike 0.90793,398,271,420,300
motorbike 0.85740,805,504,861,562
motorbike 0.82682,854,581,924,651
motorbike 0.78483,987,350,1016,388
motorbike 0.73740,748,488,799,538
car 0.99682,308,400,443,517
car 0.94508,330,251,381,295
car 0.94443,855,363,990,460
car 0.89567,216,241,272,299
car 0.62164,897,345,985,393
car 0.51904,268,228,293,256
person 0.95091,812,458,864,535
person 0.93161,662,483,715,555
person 0.89368,985,326,1019,385
person 0.74131,498,485,568,555
person 0.71509,752,442,801,511
person 0.65300,863,516,914,601
person 0.58711,731,406,776,458
