object_probs,left,top,right,bottom
motorbike 0.95562,584,556,672,640
motorbike 0.95072,951,401,992,457
motorbike 0.92606,768,457,819,526
motorbike 0.89952,361,564,482,662
motorbike 0.81957,436,269,457,294
motorbike 0.76748,22,581,110,655
motorbike 0.70553,867,399,912,460
person 0.71694 motorbike 0.69712,481,272,506,301
motorbike 0.63223,551,505,600,571
motorbike 0.54106,867,425,904,468
person 0.64962 motorbike 0.53716,372,650,475,719
person 0.98955,868,383,910,451
person 0.93054,952,361,992,424
person 0.91733,302,605,374,707
person 0.90624,779,380,827,444
person 0.67225,775,436,821,516
person 0.66598,367,543,452,655
person 0.64532,591,517,670,604
person 0.51807,219,250,233,280
person 0.50580,554,473,623,522
