object_probs,left,top,right,bottom
motorbike 0.87365,565,309,592,337
motorbike 0.86018,514,308,538,335
motorbike 0.85007,462,291,486,314
person 0.85610 motorbike 0.80657,513,295,537,324
motorbike 0.78527,155,550,222,612
motorbike 0.77113,651,364,698,411
motorbike 0.75453,1,576,76,664
motorbike 0.69070,301,331,326,374
car 0.97951,646,278,770,334
car 0.86955,333,254,395,295
car 0.61205,211,269,251,291
person 0.82310,565,294,589,323
person 0.81419,147,507,196,577
person 0.69376,636,313,671,350
person 0.68458,463,277,484,305
person 0.56913,172,521,216,589
person 0.53908,648,339,697,406
