object_probs,left,top,right,bottom
motorbike 0.93572,878,401,922,459
motorbike 0.90934,609,535,690,622
motorbike 0.83609,963,375,1004,444
motorbike 0.76237,439,269,461,294
motorbike 0.75247,384,545,507,645
motorbike 0.69980,782,464,826,519
motorbike 0.69034,571,509,618,567
motorbike 0.57846,43,582,130,647
motorbike 0.50675,791,433,834,513
person 0.95709,881,379,920,447
person 0.90577,964,358,1001,424
person 0.88167,340,594,395,685
person 0.80290,792,376,837,443
person 0.77262,623,509,680,608
person 0.73255,403,638,490,719
person 0.67410,402,537,491,625
person 0.56496,791,416,834,497
person 0.52738,219,254,231,280
person 0.52620,573,466,616,524
person 0.50181,966,354,996,387
