object_probs,left,top,right,bottom
traffic light 0.61147,168,290,186,320
person 0.66067 motorbike 0.92427,489,289,515,323
motorbike 0.90070,222,508,265,561
motorbike 0.90021,729,388,790,439
person 0.86152 motorbike 0.86419,615,312,645,348
motorbike 0.84174,544,311,573,341
motorbike 0.73814,620,327,645,356
motorbike 0.71453,50,554,143,633
person 0.68192 motorbike 0.63942,294,311,318,350
motorbike 0.54977,297,328,318,355
car 0.93240,699,282,826,337
car 0.89550,348,256,404,300
car 0.74720,204,268,245,289
person 0.93304,214,464,259,530
person 0.82712,735,360,782,428
person 0.76313,702,323,745,373
