object_probs,left,top,right,bottom
car 0.69063 truck 0.51206,207,232,254,287
motorbike 0.94139,502,536,590,616
motorbike 0.93209,794,422,841,479
motorbike 0.83686,979,397,1022,454
motorbike 0.70629,399,270,421,301
motorbike 0.69122,1064,402,1078,464
motorbike 0.63020,864,373,897,414
motorbike 0.55412,734,418,780,473
car 0.99260,65,493,345,658
car 0.99214,191,602,561,719
car 0.96175,351,351,429,443
car 0.94171,333,251,384,298
car 0.60749,975,316,1077,386
person 0.93718,981,381,1022,448
person 0.92449,796,395,843,464
person 0.90295,734,397,782,464
person 0.77716,866,353,897,391
person 0.66733,895,382,935,445
person 0.63553,513,501,582,576
