object_probs,left,top,right,bottom
motorbike 0.94462,532,292,557,319
motorbike 0.93498,933,407,1005,457
motorbike 0.83448,597,309,632,340
motorbike 0.82149,974,383,1045,431
motorbike 0.81371,628,330,664,368
motorbike 0.58075,702,296,728,322
car 0.99308,755,379,934,495
car 0.97335,410,282,489,332
car 0.89182,357,261,409,309
car 0.70704,327,250,365,279
person 0.93290,991,360,1035,423
person 0.75332,947,376,973,412
person 0.65775,532,279,555,308
person 0.57178,602,296,624,317
person 0.50073,940,378,984,442
