object_probs,left,top,right,bottom
truck 0.93768,744,388,924,524
motorbike 0.95920,209,609,331,716
motorbike 0.91336,397,271,420,300
motorbike 0.88805,488,614,582,716
motorbike 0.77444,650,579,731,658
motorbike 0.72984,581,530,653,627
motorbike 0.63504,1030,410,1064,450
person 0.57693 motorbike 0.53509,1029,379,1067,442
car 0.99887,192,454,404,589
car 0.84417,330,250,379,293
car 0.77985,226,248,292,314
person 0.85023,499,579,574,665
person 0.80273,575,478,646,548
person 0.67512,665,531,723,627
person 0.57355,574,492,653,615
person 0.50554,870,364,908,421
