object_probs,left,top,right,bottom
motorbike 0.93137,888,376,932,435
motorbike 0.89755,887,496,952,575
motorbike 0.86309,838,481,887,550
person 0.79197 motorbike 0.75483,474,266,493,299
person 0.66623 motorbike 0.73547,723,289,760,325
motorbike 0.69325,233,330,259,371
motorbike 0.68104,838,292,882,328
motorbike 0.61034,1013,348,1040,382
motorbike 0.60268,1006,328,1043,380
motorbike 0.58845,1051,389,1074,428
car 0.80402,337,257,375,287
car 0.60510,85,581,401,708
person 0.90854,841,447,888,538
person 0.83634,1011,331,1039,372
person 0.82968,890,460,948,567
person 0.76098,889,363,932,429
person 0.75024,1050,358,1077,426
