object_probs,left,top,right,bottom
motorbike 0.96729,1035,441,1075,498
motorbike 0.94796,416,576,519,655
motorbike 0.93260,764,443,817,502
motorbike 0.89022,945,422,989,476
motorbike 0.80194,688,417,753,486
motorbike 0.69630,697,440,744,493
motorbike 0.66734,399,271,421,300
motorbike 0.66697,871,401,909,459
motorbike 0.61512,838,390,875,430
car 0.99278,7,519,307,686
car 0.97433,952,332,1054,411
car 0.97420,352,367,432,458
car 0.96976,82,634,521,718
car 0.94052,334,251,384,298
car 0.75277,210,234,260,288
car 0.65197,267,227,295,258
person 0.96829,771,408,816,470
person 0.96533,947,400,989,464
person 0.92832,694,405,744,473
person 0.92387,1034,405,1075,470
person 0.73038,846,360,873,390
person 0.64145,428,535,508,618
person 0.60238,839,362,879,418
