object_probs,left,top,right,bottom
motorbike 0.95667,505,499,583,569
motorbike 0.91055,308,353,339,391
motorbike 0.77194,399,273,420,302
motorbike 0.76474,261,412,290,456
motorbike 0.61060,989,357,1026,417
person 0.82905 motorbike 0.60335,1038,305,1064,345
car 0.99930,627,443,860,575
car 0.99173,208,595,562,713
car 0.98093,277,289,341,335
car 0.97601,218,252,258,287
car 0.84300,335,253,384,297
car 0.71433,224,214,252,240
car 0.50667,268,230,300,257
person 0.91593,989,348,1026,404
person 0.90829,256,382,291,448
person 0.78021,506,462,580,537
