object_probs,left,top,right,bottom
truck 0.51783,203,220,250,281
motorbike 0.97161,594,501,674,575
motorbike 0.82967,831,405,880,454
motorbike 0.76384,924,392,955,428
motorbike 0.61234,893,367,921,403
motorbike 0.56693,399,269,421,301
motorbike 0.56667,1019,377,1060,434
car 0.99658,141,469,391,611
car 0.98717,335,570,631,716
car 0.95047,344,348,422,428
car 0.94028,333,251,383,298
car 0.68610,205,232,253,283
car 0.63231,1008,325,1076,382
car 0.58571,267,230,296,260
person 0.95326,835,378,880,438
person 0.89071,777,377,820,441
person 0.79171,607,471,660,559
person 0.70605,1016,363,1056,425
person 0.67000,924,361,957,421
