object_probs,left,top,right,bottom
motorbike 0.86527,845,372,880,410
motorbike 0.81552,736,435,788,509
motorbike 0.72276,399,267,422,301
motorbike 0.69523,900,388,941,424
motorbike 0.61994,1068,322,1078,363
motorbike 0.61914,144,572,263,666
motorbike 0.55540,949,338,995,393
car 0.99815,248,427,433,557
car 0.99433,505,513,759,658
car 0.97577,325,332,407,399
car 0.93633,331,251,383,297
car 0.89140,197,225,248,275
person 0.96374,844,346,882,405
person 0.95149,902,348,943,403
person 0.94391,739,420,786,493
person 0.68804,946,323,989,378
