object_probs,left,top,right,bottom
motorbike 0.96271,706,498,776,577
motorbike 0.89258,928,391,960,436
motorbike 0.86814,457,271,480,297
motorbike 0.81471,845,418,887,482
motorbike 0.80663,127,522,194,587
motorbike 0.75287,500,606,624,709
motorbike 0.72006,657,468,719,523
motorbike 0.66509,1005,388,1037,431
motorbike 0.60099,505,521,594,593
person 0.64622 motorbike 0.60015,514,272,539,305
motorbike 0.56662,843,447,878,486
motorbike 0.56601,457,605,529,685
person 0.97388,930,362,968,423
person 0.96279,711,470,768,566
person 0.90614,845,398,884,472
person 0.86075,523,572,609,700
person 0.84901,478,543,536,647
person 0.83121,842,359,883,417
person 0.70779,1003,341,1039,402
person 0.63019,496,504,571,572
person 0.61527,667,445,717,506
person 0.50393,660,439,697,468
