object_probs,left,top,right,bottom
motorbike 0.89413,928,373,968,409
motorbike 0.84340,782,414,832,487
motorbike 0.83206,239,562,330,639
motorbike 0.72656,400,269,422,300
motorbike 0.59766,871,349,903,392
motorbike 0.55907,969,318,1011,378
person 0.84741,871,338,907,394
car 0.99895,284,414,449,534
car 0.99649,561,493,815,630
car 0.98662,316,324,395,387
car 0.94465,332,251,383,298
car 0.84192,196,226,246,275
person 0.95893,784,402,830,475
person 0.95893,930,342,970,397
person 0.67879,966,308,1009,363
person 0.53042,252,525,303,626
