object_probs,left,top,right,bottom
motorbike 0.82966,475,552,558,649
motorbike 0.78023,744,437,784,501
motorbike 0.77682,605,290,647,323
motorbike 0.77550,926,421,970,474
motorbike 0.71965,863,381,909,439
motorbike 0.70797,984,371,1016,409
motorbike 0.62973,803,506,865,568
person 0.68362 motorbike 0.59825,1045,329,1069,372
motorbike 0.51305,244,436,271,476
person 0.96282,427,646,510,719
person 0.93881,927,394,972,463
person 0.83478,529,274,556,309
person 0.81185,809,466,863,560
person 0.74898,778,434,825,509
person 0.73588,238,400,273,467
person 0.73430,749,415,794,492
person 0.68361,966,327,998,368
person 0.64553,981,347,1019,401
person 0.59542,863,369,905,425
