object_probs,left,top,right,bottom
truck 0.96775,925,351,1079,565
motorbike 0.93080,495,296,519,322
motorbike 0.87519,700,328,731,359
motorbike 0.75756,818,364,864,426
person 0.53194 motorbike 0.75746,474,275,498,301
motorbike 0.64118,436,269,456,292
person 0.67061 motorbike 0.50925,657,318,677,344
car 0.98305,576,339,700,408
car 0.95243,376,268,429,311
car 0.78194,338,253,377,287
car 0.60536,309,246,337,273
person 0.61897,700,317,725,350
person 0.56375,551,276,574,307
person 0.51966,496,278,518,303
