object_probs,left,top,right,bottom
motorbike 0.96575,805,458,864,529
motorbike 0.84685,746,427,806,483
person 0.83195 motorbike 0.83534,482,272,506,301
motorbike 0.81898,904,413,943,449
motorbike 0.73370,984,370,1014,409
motorbike 0.68488,1051,366,1077,411
motorbike 0.59294,546,287,582,317
motorbike 0.59269,604,548,669,613
car 0.72900,304,250,344,275
person 0.96662,809,430,864,516
person 0.93550,982,341,1017,404
person 0.89860,903,379,946,441
person 0.89739,753,405,801,467
person 0.74845,237,636,281,719
person 0.72894,191,451,237,512
person 0.67073,549,272,578,309
person 0.64659,895,343,938,399
person 0.61629,615,464,688,521
person 0.60009,611,499,666,609
person 0.57628,661,523,730,636
