object_probs,left,top,right,bottom
motorbike 0.91168,976,374,1008,411
motorbike 0.88796,799,452,855,532
person 0.83853 motorbike 0.84215,479,272,503,301
motorbike 0.79503,897,399,941,451
motorbike 0.73542,1050,364,1076,414
motorbike 0.71274,745,424,799,481
motorbike 0.51827,192,485,236,542
motorbike 0.51216,651,548,728,640
car 0.76552,303,250,344,274
person 0.98387,800,431,854,523
person 0.93509,977,344,1012,404
person 0.90146,898,379,942,445
person 0.73082,1039,328,1066,370
person 0.72895,653,531,722,642
person 0.72537,219,639,262,719
person 0.68874,605,502,659,609
person 0.68217,747,409,796,466
person 0.65461,889,343,929,397
person 0.63222,192,459,234,529
person 0.58218,599,466,672,522
