object_probs,left,top,right,bottom
motorbike 0.90705,778,363,828,409
motorbike 0.89336,932,381,991,429
motorbike 0.79139,639,313,671,335
motorbike 0.73653,119,543,201,611
motorbike 0.50237,557,290,588,314
car 0.99166,466,297,557,358
car 0.97438,589,333,732,431
car 0.94420,402,268,465,318
car 0.82340,251,291,320,358
car 0.68188,1005,425,1079,575
person 0.94734,780,343,825,404
person 0.86484,939,358,988,419
person 0.72560,946,357,978,388
person 0.68343,785,342,812,367
person 0.56925,1031,402,1055,435
person 0.50717,640,302,665,327
person 0.50363,1012,408,1035,448
