object_probs,left,top,right,bottom
motorbike 0.91735,608,556,683,637
motorbike 0.89659,398,272,420,300
motorbike 0.87725,417,531,507,623
motorbike 0.70004,752,527,817,592
motorbike 0.57942,951,368,984,401
motorbike 0.57511,869,361,973,414
motorbike 0.56989,697,509,749,567
motorbike 0.56431,1068,368,1078,407
car 0.99864,274,417,436,542
car 0.94022,331,251,380,295
car 0.92130,823,382,966,480
car 0.84554,221,244,281,304
person 0.89552,419,518,503,606
person 0.82521,621,513,678,600
person 0.80159,690,426,738,482
person 0.76899,956,346,986,391
person 0.74165,767,485,820,554
person 0.69415,955,339,980,372
person 0.54028,778,579,853,694
