object_probs,left,top,right,bottom
car 0.68660 truck 0.53687,205,232,253,285
motorbike 0.94684,565,517,646,589
motorbike 0.89552,819,401,868,456
motorbike 0.89177,764,398,807,454
motorbike 0.78277,885,369,917,406
motorbike 0.72109,1007,379,1048,438
motorbike 0.71617,916,391,946,433
motorbike 0.66979,399,271,421,301
motorbike 0.54227,1012,408,1044,443
car 0.98895,284,579,608,712
car 0.97008,126,480,381,629
car 0.93810,333,251,383,298
car 0.92411,347,350,426,435
car 0.57754,1027,298,1078,328
car 0.55068,268,229,296,259
person 0.99061,821,383,868,443
person 0.98660,762,380,807,446
person 0.84033,1007,365,1047,428
person 0.76746,579,479,635,557
person 0.75775,911,362,950,421
person 0.73719,884,345,923,398
person 0.66109,890,340,916,369
