object_probs,left,top,right,bottom
motorbike 0.94126,436,544,514,610
motorbike 0.91418,283,617,412,711
motorbike 0.82031,889,422,928,479
motorbike 0.70114,810,399,854,450
motorbike 0.62524,291,371,317,408
motorbike 0.60889,973,447,1039,493
motorbike 0.52905,762,390,795,424
car 0.98219,977,283,1074,328
car 0.94795,912,345,1064,426
car 0.83385,263,270,330,334
car 0.72769,373,249,442,292
car 0.51232,300,232,338,258
person 0.97102,891,396,929,467
person 0.92651,727,415,773,490
person 0.86210,981,408,1021,469
person 0.83501,449,500,492,572
person 0.68779,823,373,850,411
person 0.67320,289,349,315,397
person 0.62827,758,359,796,420
person 0.62119,302,582,387,696
person 0.55725,374,269,395,304
person 0.55016,764,356,787,394
