object_probs,left,top,right,bottom
motorbike 0.92304,289,599,391,674
motorbike 0.82912,921,461,972,525
motorbike 0.78874,747,422,794,477
motorbike 0.78147,840,441,886,505
motorbike 0.75609,646,485,695,543
motorbike 0.57191,1065,366,1077,415
motorbike 0.53708,640,461,702,525
motorbike 0.53525,62,680,128,719
car 0.99151,911,283,1024,331
car 0.96105,858,368,1021,450
car 0.93124,273,280,336,350
car 0.50398,355,248,421,294
person 0.92635,842,419,887,495
person 0.90610,314,547,362,616
person 0.89571,923,437,968,513
person 0.83061,648,455,698,529
person 0.67007,73,654,122,716
person 0.66263,751,397,792,465
person 0.60468,648,386,688,447
person 0.52073,752,393,778,434
