object_probs,left,top,right,bottom
motorbike 0.86984,969,398,1050,464
motorbike 0.68876,222,441,261,499
motorbike 0.63271,286,392,311,432
person 0.92008 motorbike 0.62084,524,289,545,323
person 0.73373 motorbike 0.59473,421,295,440,325
car 0.98487,591,336,731,424
car 0.92795,350,245,401,277
bicycle 0.67901,564,330,590,365
person 0.88822,988,380,1037,452
person 0.87578,476,293,493,326
person 0.80173,278,365,310,425
person 0.73551,217,418,255,485
person 0.67885,518,346,540,392
person 0.65300,326,275,346,311
person 0.57668,967,365,1005,425
