object_probs,left,top,right,bottom
motorbike 0.90636,673,480,744,546
motorbike 0.84450,992,374,1022,414
motorbike 0.78666,951,348,977,386
person 0.57037 motorbike 0.72600,564,289,587,322
person 0.64452 motorbike 0.70576,891,359,928,417
car 0.98149,209,578,546,711
car 0.97014,407,261,477,306
car 0.90674,227,255,290,304
car 0.84522,1040,324,1079,380
person 0.87674,991,307,1014,350
person 0.80871,373,272,393,305
person 0.79559,952,333,975,367
person 0.76194,676,448,725,535
person 0.71426,718,406,764,464
person 0.65649,888,354,913,389
person 0.52066,992,345,1029,405
