object_probs,left,top,right,bottom
traffic light 0.51296,147,229,164,253
motorbike 0.89946,275,440,323,503
person 0.57352 motorbike 0.88863,353,313,380,345
motorbike 0.66968,289,348,318,384
person 0.55057 motorbike 0.62880,390,272,411,300
motorbike 0.60316,797,353,868,394
person 0.61102 motorbike 0.51144,206,310,224,338
car 0.96443,219,255,265,285
car 0.86483,333,356,421,440
bicycle 0.89025,888,368,957,415
person 0.98146,270,419,321,492
person 0.91309,803,338,848,393
person 0.88303,903,344,945,407
person 0.67154,287,331,313,369
