object_probs,left,top,right,bottom
motorbike 0.86462,673,569,758,684
motorbike 0.83809,761,436,820,507
motorbike 0.74458,933,368,959,402
person 0.69073 motorbike 0.74024,988,326,1016,370
motorbike 0.53284,933,350,960,392
car 0.97721,362,522,659,703
car 0.91886,213,250,278,296
car 0.88976,418,262,490,308
car 0.74272,334,248,380,279
person 0.88239,776,388,822,446
person 0.86358,768,411,822,497
person 0.79972,374,274,392,306
person 0.76738,932,341,967,397
person 0.67435,931,335,955,370
person 0.57384,1046,289,1064,327
person 0.52860,672,555,756,644
