object_probs,left,top,right,bottom
motorbike 0.87781,857,422,924,485
motorbike 0.70587,720,368,758,404
motorbike 0.54452,781,387,811,426
car 0.97019,895,280,1005,330
person 0.91266,396,270,415,302
person 0.90317,333,275,353,310
person 0.90265,209,313,234,351
person 0.88639,864,401,911,472
person 0.81106,723,334,751,366
person 0.78363,480,273,502,297
person 0.71322,369,267,386,303
person 0.68308,770,366,813,420
person 0.66284,716,343,759,398
person 0.53637,369,255,385,283
person 0.50036,772,359,800,389
