object_probs,left,top,right,bottom
motorbike 0.79414,192,504,237,563
motorbike 0.75628,793,402,852,449
motorbike 0.73458,850,370,879,405
motorbike 0.70401,228,356,263,418
motorbike 0.65460,622,348,646,383
motorbike 0.62943,531,345,561,383
car 0.90794,409,260,473,304
car 0.60205,943,417,1079,583
person 0.96219,183,459,238,535
person 0.83738,291,317,313,351
person 0.81259,612,323,646,382
person 0.81247,524,328,562,381
person 0.71698,837,345,875,403
person 0.59091,799,386,843,443
person 0.54216,227,336,263,409
person 0.53784,808,372,835,409
