object_probs,left,top,right,bottom
bus 0.89128,82,422,370,626
motorbike 0.90550,711,539,780,609
motorbike 0.83376,867,443,910,494
motorbike 0.74235,987,416,1030,477
person 0.52313,985,390,1033,472
motorbike 0.53315,968,371,995,414
car 0.97945,915,282,1026,330
car 0.97516,466,278,553,320
car 0.94555,0,643,419,719
person 0.98703,867,398,914,477
person 0.90200,373,271,393,305
person 0.85922,715,491,769,581
person 0.70723,1023,340,1058,404
person 0.70211,347,271,368,305
person 0.70084,639,290,663,322
person 0.52204,970,355,997,391
