object_probs,left,top,right,bottom
motorbike 0.92720,475,543,555,607
motorbike 0.89195,904,458,952,528
motorbike 0.87138,600,603,714,713
motorbike 0.83732,90,595,217,688
motorbike 0.79043,240,482,286,548
motorbike 0.59301,291,641,392,718
person 0.57300 motorbike 0.53714,373,274,394,306
car 0.99303,637,438,865,563
car 0.99134,713,293,841,337
car 0.88246,304,320,388,409
car 0.79062,337,244,388,276
person 0.90970,906,433,953,512
person 0.90481,239,463,285,529
person 0.78222,615,539,699,614
person 0.78179,612,577,697,662
person 0.63195,489,495,534,574
