object_probs,left,top,right,bottom
truck 0.91663,5,413,265,693
truck 0.55881,260,236,419,383
motorbike 0.93914,264,434,309,506
motorbike 0.75435,473,352,515,384
person 0.73904 motorbike 0.69810,645,312,673,349
motorbike 0.61797,558,348,585,382
motorbike 0.58546,928,438,1003,500
motorbike 0.56894,646,328,671,354
person 0.76518 motorbike 0.53562,703,339,745,397
car 0.92296,486,297,574,347
person 0.93930,258,393,302,470
person 0.84001,944,404,994,492
person 0.69232,473,329,515,379
person 0.67093,552,330,581,374
person 0.64108,481,275,497,302
person 0.54596,434,272,453,302
