object_probs,left,top,right,bottom
traffic light 0.51984,148,229,164,253
motorbike 0.84829,280,464,325,515
person 0.68896 motorbike 0.84128,356,313,384,347
motorbike 0.82977,291,351,321,383
motorbike 0.75358,804,352,876,396
person 0.50855 motorbike 0.68420,390,272,411,301
person 0.68926 motorbike 0.64648,207,310,224,339
car 0.95682,220,256,264,284
car 0.89011,336,356,423,456
bicycle 0.92712,902,366,969,419
person 0.88254,815,339,861,392
person 0.76601,275,440,322,506
person 0.75831,910,345,952,406
person 0.68319,292,335,316,365
