object_probs,left,top,right,bottom
motorbike 0.93274,582,524,657,593
motorbike 0.89654,643,442,707,513
motorbike 0.86563,962,391,995,431
motorbike 0.84813,514,289,540,321
motorbike 0.80461,914,369,946,405
motorbike 0.76008,848,379,889,436
motorbike 0.74496,1066,388,1078,435
motorbike 0.53918,930,330,962,366
person 0.59857 motorbike 0.52431,372,268,394,304
car 0.96400,7,631,462,715
car 0.90940,394,260,463,298
car 0.89577,231,258,299,310
car 0.76842,320,239,361,262
car 0.70312,1010,325,1076,377
car 0.61494,323,246,360,273
person 0.97421,965,362,1001,422
person 0.94172,847,366,887,425
person 0.90067,582,475,638,569
person 0.66046,656,423,698,488
person 0.63255,934,314,959,351
person 0.55783,514,278,535,308
