object_probs,left,top,right,bottom
motorbike 0.82732,1022,428,1079,484
motorbike 0.77662,723,380,784,440
motorbike 0.60110,662,349,698,387
person 0.51986 motorbike 0.56316,618,331,651,369
motorbike 0.50953,622,348,653,378
car 0.93766,818,284,934,333
person 0.83119,1034,402,1077,471
person 0.81054,224,324,248,365
person 0.74520,621,316,652,345
person 0.64674,732,367,776,429
person 0.61273,207,254,223,281
person 0.59858,666,335,696,368
person 0.57809,352,253,374,284
person 0.55774,349,272,377,303
