object_probs,left,top,right,bottom
motorbike 0.87322,771,391,834,441
motorbike 0.84452,179,503,228,572
motorbike 0.79630,229,358,264,422
motorbike 0.62398,516,346,545,381
motorbike 0.60843,293,325,317,361
person 0.78263 motorbike 0.56348,603,326,629,373
car 0.83720,400,257,464,299
car 0.68476,926,431,1079,569
person 0.93198,175,475,227,550
person 0.86356,514,330,546,370
person 0.71648,803,340,843,396
person 0.70765,328,268,348,313
person 0.68039,928,477,970,562
person 0.62575,495,289,515,319
person 0.61032,225,340,263,406
person 0.53689,291,319,315,355
