object_probs,left,top,right,bottom
truck 0.52660,288,298,368,383
motorbike 0.96779,597,487,668,547
motorbike 0.91949,978,416,1021,480
motorbike 0.90246,762,570,842,631
motorbike 0.89248,364,526,446,584
motorbike 0.84924,450,582,537,648
motorbike 0.75259,290,457,321,496
motorbike 0.69377,721,527,784,584
motorbike 0.53437,766,531,840,617
car 0.99080,743,401,930,512
car 0.98435,792,293,905,334
car 0.75657,287,292,368,378
car 0.58435,346,244,394,296
person 0.95156,729,469,781,569
person 0.90426,610,444,654,507
person 0.88237,283,423,321,484
person 0.85810,378,479,425,559
person 0.83409,454,528,534,623
person 0.80682,979,396,1023,468
person 0.77363,770,523,839,599
