object_probs,left,top,right,bottom
motorbike 0.85086,591,492,658,575
motorbike 0.83685,707,440,758,497
motorbike 0.82902,196,621,320,703
motorbike 0.81271,883,475,935,551
motorbike 0.65251,804,466,871,528
motorbike 0.52890,1040,395,1072,436
car 0.99109,825,372,990,461
car 0.98950,874,289,988,334
car 0.89687,278,288,351,358
car 0.54945,367,250,405,281
car 0.53541,284,231,326,258
person 0.95322,811,432,861,517
person 0.91408,713,405,752,466
person 0.85170,572,406,614,467
person 0.77834,227,575,281,662
person 0.76795,883,459,930,538
person 0.72252,1039,362,1075,427
person 0.54915,599,468,654,562
