object_probs,left,top,right,bottom
motorbike 0.93118,878,385,944,442
motorbike 0.89919,202,467,244,523
person 0.67985 motorbike 0.65752,478,329,501,370
motorbike 0.63758,401,293,420,316
person 0.63222 motorbike 0.63547,455,292,474,320
motorbike 0.62838,270,413,299,446
person 0.60218 motorbike 0.58639,536,311,557,348
car 0.97712,545,323,681,404
car 0.88757,341,241,384,276
car 0.79348,983,390,1079,519
person 0.95286,197,436,239,503
person 0.86709,480,278,497,307
person 0.76509,265,381,304,442
person 0.74009,883,354,930,425
person 0.51318,886,353,919,388
