object_probs,left,top,right,bottom
bus 0.82373,0,448,309,669
motorbike 0.95842,620,579,703,665
motorbike 0.86249,815,465,863,521
motorbike 0.84015,1049,409,1075,456
motorbike 0.75649,956,431,1000,505
motorbike 0.72574,923,407,952,444
motorbike 0.60803,924,381,960,441
car 0.95024,868,284,988,332
car 0.92409,445,275,525,315
person 0.98504,816,420,867,499
person 0.91778,950,410,997,499
person 0.90850,372,271,393,305
person 0.87031,622,530,698,618
person 0.83020,985,356,1020,419
person 0.82955,1050,373,1077,448
person 0.67884,930,372,955,407
person 0.62270,347,271,368,303
person 0.60019,924,366,959,424
person 0.56905,601,278,618,310
