object_probs,left,top,right,bottom
truck 0.86783,243,237,403,364
truck 0.65838,1,394,295,640
motorbike 0.82806,721,331,753,368
motorbike 0.65033,789,378,837,431
motorbike 0.62125,457,289,476,318
motorbike 0.54145,605,346,632,389
motorbike 0.50745,443,324,483,375
motorbike 0.50475,617,365,642,402
car 0.97497,517,300,613,363
person 0.90701,260,369,302,423
person 0.90475,789,357,836,424
person 0.80031,454,274,474,303
person 0.61217,606,334,630,375
person 0.59610,445,332,481,369
person 0.54245,511,288,538,321
person 0.50592,514,281,535,305
