object_probs,left,top,right,bottom
motorbike 0.79313,634,472,711,556
motorbike 0.76772,680,446,743,499
motorbike 0.75149,936,352,962,392
motorbike 0.74536,540,289,570,322
motorbike 0.65228,873,391,903,429
car 0.98278,132,601,487,712
car 0.93454,405,261,474,303
car 0.87741,227,256,295,307
car 0.85602,1028,323,1079,384
car 0.65548,324,237,364,263
person 0.95253,871,360,910,420
person 0.79917,698,414,728,455
person 0.77604,968,310,993,352
person 0.71743,938,335,959,367
person 0.71296,644,455,697,545
person 0.64051,372,270,394,305
person 0.57164,979,359,1017,415
