object_probs,left,top,right,bottom
motorbike 0.95557,410,560,497,643
motorbike 0.89699,204,519,265,582
motorbike 0.83664,545,643,631,719
motorbike 0.75064,861,478,911,551
motorbike 0.74338,1064,344,1078,397
person 0.66358 motorbike 0.65773,373,274,395,305
car 0.99324,678,294,804,337
car 0.98472,576,453,823,584
car 0.92466,307,321,392,423
car 0.66543,324,241,388,285
person 0.93318,863,453,912,534
person 0.82026,548,584,642,656
person 0.78996,202,484,242,550
person 0.65240,187,641,259,717
person 0.62517,424,518,472,593
person 0.52308,567,566,648,633
